px,py,vx,vy,px_measured,py_measured,gt_px,gt_py,gt_vx,gt_vy
11.273,-2.53174,0.77613,2.41143,11.1188,-2.36202,11.2,-2.4,-0.909276,2.72782
11.2929,-2.36321,0.672306,2.48359,11.1594,-2.25598,11.15,-2.25,-0.909276,2.72782
11.3783,-2.25198,0.770866,2.48973,11.2029,-2.09837,11.25,-2.1,1.81915,2.72871
11.4126,-2.07176,0.693891,2.58535,11.3525,-1.95787,11.35,-1.95,1.81913,2.72869
11.4207,-1.91517,0.553564,2.60496,11.3011,-1.79507,11.35,-1.8,0,2.73035
11.4328,-1.74518,0.45694,2.66111,11.3326,-1.67041,11.35,-1.65,0,2.73033
11.3807,-1.58442,0.198081,2.67291,11.0622,-1.44342,11.3,-1.5,-0.999165,2.99748
11.3702,-1.42666,0.0893909,2.71348,11.2595,-1.35818,11.25,-1.35,-0.999155,2.99745
11.3258,-1.25698,-0.125258,2.73937,11.1658,-1.23674,11.2,-1.25,-0.909822,1.81964
11.29,-1.12386,-0.244528,2.68738,11.1524,-1.15803,11.15,-1.15,-0.909822,1.81964
11.1803,-0.941947,-0.606676,2.76245,10.8534,-0.929069,11.05,-0.95,-1.99817,3.99632
11.1191,-0.78452,-0.759001,2.75926,10.9584,-0.728742,10.95,-0.75,-1.99816,3.99632
11.0653,-0.635684,-0.883152,2.71738,10.8608,-0.663121,10.9,-0.649999,-0.908549,1.8171
10.9905,-0.506235,-1.01415,2.63162,10.8648,-0.553034,10.85,-0.549999,-0.908532,1.81708
10.8909,-0.343986,-1.26304,2.64802,10.8451,-0.437482,10.75,-0.45,-1.8174,1.81738
10.7929,-0.241028,-1.38664,2.5013,10.6542,-0.347474,10.65,-0.35,-1.8174,1.81738
10.626,-0.0641051,-1.82645,2.57419,10.5062,-0.245062,10.5,-0.25,-2.72796,1.81864
10.4951,0.0133036,-1.9455,2.35411,10.3438,-0.150982,10.35,-0.15,-2.72796,1.81864
10.4003,0.117505,-1.99841,2.20558,10.4884,-0.0812124,10.25,-0.0999996,-1.81964,0.909826
10.2683,0.16006,-2.07796,1.96087,10.1537,-0.0482457,10.15,-0.0499992,-1.81963,0.909818
10.1163,0.263505,-2.29953,1.87508,9.92588,0.00395802,10,9.49949e-07,-2.73049,0.910169
9.96944,0.278259,-2.35695,1.59943,9.85676,0.0351738,9.85,0.0500011,-2.73047,0.910161
9.8124,0.352065,-2.52526,1.46534,9.63973,0.0585714,9.7,0.0500011,-2.72439,0
9.65491,0.331051,-2.55154,1.15789,9.54669,0.0374948,9.55,0.0500011,-2.72438,0
9.49473,0.377222,-2.66975,0.992953,9.32242,0.112393,9.4,0.100001,-2.72773,0.90923
9.33236,0.362173,-2.69524,0.728085,9.24446,0.153574,9.25,0.15,-2.7277,0.909222
9.17851,0.382868,-2.73024,0.540695,9.0614,0.20077,9.1,0.2,-2.72652,0.908843
9.01558,0.374349,-2.75242,0.318243,8.94752,0.260272,8.95,0.25,-2.72653,0.908843
8.91457,0.350399,-2.47624,0.101577,8.90199,0.247143,8.85,0.25,-1.81847,0
8.77581,0.332398,-2.46989,-0.0783038,8.76016,0.263752,8.75,0.25,-1.81846,0
8.57089,0.347942,-2.82532,-0.228612,8.46355,0.258809,8.55,0.25,-3.6326,0
8.40584,0.313655,-2.81172,-0.435173,8.35367,0.252596,8.35,0.25,-3.6326,0
8.2504,0.278283,-2.75072,-0.618875,8.05161,0.241868,8.2,0.25,-2.72841,0
8.09307,0.241203,-2.71843,-0.790702,8.05411,0.247878,8.05,0.25,-2.72842,0
7.9445,0.191549,-2.63952,-0.957546,7.78653,0.205765,7.9,0.2,-2.72708,-0.909025
7.792,0.136024,-2.58869,-1.12304,7.74339,0.144028,7.75,0.15,-2.72705,-0.909016
7.64665,0.0778746,-2.56729,-1.2812,7.77346,0.0969346,7.6,0.100001,-2.73169,-0.910554
7.49991,0.0118929,-2.49845,-1.42678,7.45362,0.0452052,7.45,0.0500011,-2.73169,-0.910554
7.3343,-0.0359128,-2.61474,-1.57268,7.15329,0.0425189,7.3,0.0500011,-2.99789,0
7.20187,-0.086282,-2.54136,-1.65465,7.16618,0.0287673,7.15,0.0500011,-2.9979,0
7.10283,-0.180624,-2.27266,-1.74313,7.17215,-0.0469302,7.05,-0.0499995,-1.81811,-1.81813
6.97918,-0.250909,-2.17408,-1.82402,6.95426,-0.147757,6.95,-0.15,-1.8181,-1.81811
6.87058,-0.345854,-2.02733,-1.91812,6.83008,-0.250179,6.85,-0.25,-1.81646,-1.81646
6.76499,-0.429971,-1.91138,-1.98838,6.76395,-0.345347,6.75,-0.35,-1.81645,-1.81645
